,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
Rel..border.to.brighter.objects.Layer.2,0.902496098,0.381997279,0.293920411,0.462534292,0.504455654,0.308911881,0.222441606,0.250719505,0.397018983,0.720363828,0.458282504,0.295674491,0.337620026,0.196919518,0.362322852,0.341257616,0.232275323,0.585422081,0.315995457,0.281019392,0.25862616,0.346251572,0.955657185,0.336015023,0.316329206,0.339669694,0.373460335,0.369769569,0.555623959,0.289081826,0.319174277,0.570223895,0.163784129,0.318429677,0.92345998,0.616196326,0.265990168,0.325095017,0.532596198,0.530370688,0.55513159,0.418076592,0.393000855,0.532759861,0.268575778,0.473994677,0.506903679,0.238824046,0.359383068,0.28906912,0.560239253,0.772213258,0.327899643,0.344143823,0.347803293,0.49730113,0.593836089,0.36378241,0.268100722,0.153707046,0.42916029,0.391678565,0.469345963,0.398374182,0.344383169,0.42300493,0.387431672,0.376986745,0.385133164,0.914886283,0.35172922,0.312986048,0.290601212,0.247266505,0.459320245,0.513430132,0.232051451,0.315662946,0.664639819,0.351934729,3.039755096,0.233522976,0.355772932,0.339994479,0.293403324
Density.of.sub.objects..stddev..1.,11.70238274,11.28232352,11.46685431,11.52733911,11.99105339,11.02571544,12.04135318,11.31907927,12.04134282,12.09090821,11.84551952,10.97578469,11.33239172,11.86085144,11.84929728,12.11443881,11.30399492,11.81532899,11.11011187,11.3517564,11.08378709,11.21336609,11.3735817,11.35112683,11.56269224,10.92363757,11.21305465,11.45837773,11.2869325,11.10564713,11.10733163,11.60370904,10.78263177,11.00282059,12.1312901,11.92500651,10.91845057,11.46648935,12.9081672,11.67052538,11.1880599,11.4210214,11.26426359,11.48311897,11.15500846,11.57899628,11.34076807,11.56831203,10.9737965,10.79537165,11.1704771,11.7485499,11.46808477,11.37152857,11.6240311,11.85254592,11.38606109,11.63288873,11.21989783,10.99740384,11.12151175,11.27022821,11.30134573,11.46121058,11.14261609,11.41449566,11.34418391,11.14632059,11.05146568,11.71549629,11.34270632,11.04827533,11.43375372,11.15329654,11.98256494,11.56676829,11.1812565,11.58884021,11.39765176,11.38711373,12.92672786,11.05602627,11.35031762,11.4254773,11.654024
Rel..area.of.sub.objects.Dark..1.,0.013778124,0.017691883,0.022060174,0.017767692,0.018586564,0.020855068,0.023765612,0.023740761,0.018802678,0.015574927,0.018760064,0.022089321,0.021129781,0.023475284,0.021231446,0.02230988,0.023227334,0.017384037,0.022295345,0.023380863,0.021315227,0.020422824,0.012685851,0.021175883,0.022262512,0.023101048,0.022695956,0.019684435,0.016993594,0.02147578,0.022395775,0.017993509,0.024265254,0.022012032,0.012390508,0.016094348,0.022527242,0.020384574,0.017309965,0.020775589,0.016322845,0.021425738,0.021804016,0.015849581,0.020953139,0.018330197,0.019138251,0.022906042,0.019312452,0.019829687,0.017705584,0.013607191,0.021144888,0.020586767,0.020759787,0.016462934,0.018582245,0.02006775,0.021591554,0.025692419,0.021787132,0.020948022,0.018364707,0.022371958,0.019343422,0.02014444,0.022900669,0.021013863,0.020808124,0.014135381,0.020417231,0.019656722,0.025195869,0.022755733,0.01990816,0.016442165,0.023953444,0.022682101,0.017484764,0.018674213,0.007400057,0.024720409,0.02086382,0.01833829,0.022322494
Skewness.Layer.3,56.41693157,81.1276377,71.9301251,59.87410556,60.71703851,68.98048875,57.73207298,69.20010212,59.98691078,64.69559212,67.41238104,74.8414456,73.31644274,64.11991654,64.10167095,59.71378061,69.7269604,63.28969786,62.84993663,66.74013619,63.42590218,62.28651381,56.58529861,63.91147153,65.61141892,80.57095404,64.03116543,67.69216195,57.28724554,78.61905953,77.2599771,66.48317569,88.9675422,74.98873219,59.28783563,57.66105555,71.0888605,71.52171245,53.53589325,63.3660453,74.57329374,64.22307969,73.95754847,70.99257433,76.67320279,76.0652878,65.3114306,71.81004837,76.40346073,68.72155761,71.5231194,52.32027855,69.60272754,65.71601148,67.24450997,57.37973511,71.93613286,62.33581725,81.69112376,69.24776038,71.8970091,72.71024866,64.44822019,75.16295435,69.07739275,70.4130029,59.70713839,70.16572567,65.957486,53.66756686,70.9344426,55.00263732,64.40120453,78.76737849,60.07100986,71.19467142,69.97657178,69.25366523,66.36973772,61.77372006,34.54668931,78.26033645,59.94996051,70.07068822,66.26780807
Compactness..polygon.,70.9200137,89.83812925,87.60704227,80.07848471,84.13837005,81.69080299,88.57696536,90.05475517,86.13623384,79.24071757,82.22686602,87.18591149,91.39714789,92.90739191,87.06967609,89.19575969,91.18291483,82.91537458,85.92462987,91.6945954,84.68916784,82.12104069,68.7237205,82.7532242,88.11904187,89.39696027,85.09863511,81.67780243,75.87138509,90.25795853,86.41813697,81.99843351,94.55330446,84.31714568,71.38031859,79.48649627,88.81441027,88.18008882,83.69000458,87.88034783,81.02075899,84.82544093,89.49044899,76.64101799,88.66117073,84.41954097,79.14413996,93.82274699,80.22540906,78.2416226,78.68426089,68.99044546,81.50216502,84.40766349,87.0252939,77.18018615,84.74039123,83.32919572,92.93565908,95.5244838,83.89727361,83.83187255,75.79513993,88.70016301,78.02768049,86.71848968,83.26786163,85.50443492,82.13137539,72.48733355,85.18473665,79.20816755,89.34008749,91.65110205,83.49356779,79.24832933,92.59137015,89.82908101,77.69763147,80.95500778,58.35454893,91.31285757,78.29574945,86.56475827,87.9846308
Mean.Layer.3,63.16398817,91.04405695,81.93532476,67.06397852,73.87673185,76.40050652,67.84654981,79.64471448,76.44641065,74.58820342,77.58617607,84.07697561,84.89034156,77.15505211,76.24901554,69.93432659,79.28166145,74.34683313,69.35575502,75.83094966,72.85174463,68.92114035,62.92796396,70.83759156,77.54084613,88.23462596,71.63903534,75.82286574,63.16788838,89.4535587,83.88935259,78.68249281,96.03430738,84.43126908,68.16221139,69.04068263,80.90273704,82.80683929,68.75195828,83.01565475,82.03063081,75.69339672,81.51001957,77.27730617,88.34810493,85.77004625,76.72497836,84.82586259,82.34262683,75.96325343,77.63299533,58.74458418,79.36410794,75.47263192,79.49428992,65.54059072,82.63433477,76.2892834,93.64998877,77.6091283,78.13381277,78.88649603,72.01200116,86.51076415,75.67665512,81.63177891,70.51323821,78.60177809,76.60820475,61.23292031,81.55325431,61.23606493,71.91568606,87.20165524,70.72517975,79.31823095,77.25148123,85.58818799,74.95864789,70.06334037,41.54443548,88.28126803,67.79057745,87.10465772,80.85967233
StdDev..to.neighbor.pixels.Layer.2..3.,128.8165644,138.7157157,132.2597518,130.2737483,130.5499292,131.8879095,131.1116395,133.411506,130.1079749,130.045705,131.7930847,137.17928,136.548232,131.4064371,131.0064387,129.8693391,133.2359284,132.3361681,130.7304527,130.3130524,130.3974816,129.8539814,129.2101843,130.6744956,133.8048001,143.8555668,132.0808773,131.8558747,129.6819051,139.815833,134.200178,131.0856349,150.1358613,137.6340492,129.2718302,130.754425,134.5952667,133.1165292,131.1120849,135.3629986,133.8654285,132.221893,137.4173857,129.9257686,137.8562193,130.7917346,131.5478382,135.2234727,130.7876169,133.0171217,132.8413173,127.8667602,132.860595,130.2833073,131.9525982,128.9738001,135.3633962,130.6317535,139.0089314,135.0344904,133.9618955,132.3747276,131.3397336,139.1800766,131.562757,133.656922,131.0768726,134.1316355,133.6597364,130.0376308,134.2406979,128.2526906,133.9504503,136.9150199,131.1382475,132.4759479,134.4112956,134.29601,131.7818722,130.4671073,NaN,139.2705181,130.4824373,134.0464678,134.6224684
StdDev..to.neighbor.pixels.Layer.3..3.,1359.156319,1287.836495,1408.967338,1446.693065,1327.756981,1375.199851,1386.098405,1269.921127,1096.481894,1494.491701,1359.629496,1286.604439,1126.335891,1398.232985,1149.755989,1454.440762,1476.971111,1199.184572,1236.01764,1736.121986,1727.739832,1705.624946,1345.428533,1371.799812,1238.519456,1047.352596,1213.09151,1554.245636,1227.466642,1391.867101,1491.65317,1138.839376,1303.730084,1423.386198,1490.710755,862.7838971,1454.2133,1181.698399,1330.815409,959.1436469,1321.812396,1470.301021,931.7888003,1961.125719,1621.644237,1731.103766,975.5789083,1490.461828,2491.438724,1361.461832,1018.101406,1973.676321,1672.89772,1789.81598,1326.838911,2002.086796,1389.55581,1429.558565,1307.532269,918.2098559,972.9220377,1446.319845,1514.57215,1209.811036,1685.9305,1323.053129,1471.085756,1176.787929,1214.751687,960.1754518,1653.382229,1447.990263,1013.528417,994.8539655,1507.969437,1543.318314,1143.812238,964.7246421,1506.176216,1450.39829,1067.134477,1170.316628,1430.009261,1901.18357,1048.956798
Mean.of.outer.border.Layer.3,13.05217841,12.93340285,15.71708455,13.49375823,14.9590455,14.41456547,19.98985699,17.5259972,15.87458754,13.62026294,14.45418514,15.39806888,16.11912089,18.81375316,17.12886466,18.08807016,15.87145596,13.81244512,15.90058171,17.9370603,13.37089754,14.37458334,10.74180337,14.64954172,15.40635343,17.10880452,13.31378594,14.66419879,12.75494698,13.84113927,13.7866767,12.98719759,16.39066035,14.39037081,12.96088024,13.53872758,16.5835851,17.66798627,16.98854351,14.65181336,11.42982572,14.54421318,13.22026639,11.38386054,15.02871391,13.83022511,13.6578351,18.84788155,13.22950439,11.51522063,12.7776682,10.71804109,15.17463658,15.07578887,16.43184123,14.03152647,13.08154257,15.83768429,15.12147398,18.41985861,13.78489008,15.58809966,13.57341394,15.43370283,15.55618734,13.1929334,14.83567408,14.41785491,12.81546933,11.16434108,14.40871089,12.91995366,18.74864452,15.93231857,16.56634026,12.59260959,17.53605753,17.01708854,12.32373786,14.78950446,8.579914663,17.46430565,14.26236751,13.66140693,17.27089806
Direction.of.sub.objects..stddev..1.,70.6475,102.5240152,96.68896465,77.38186869,72.20975,102.33975,72.45557248,97.91814225,68.55797681,67.9125,78.90338254,109.3115152,93.66816919,79.57498485,77.32827587,73.12505319,95.85893939,79.071,93.23358586,89.04458763,88.81125,85.3675,76.77769738,85.218,88.12814142,123.4769953,95.86111111,86.59418434,79.87389899,114.46,107.7875,87.77362879,137.6783807,109.0644898,69.69,66.35577762,107.871995,86.05376207,58.68512352,93.02054482,105.520446,91.9308233,98.79580808,88.87545455,104.9522959,89.81072768,90.65375,104.5020846,106.06375,104.1504798,98.05977273,63.52925,93.47915818,85.18,84.4,69.82125,99.22394693,84.5730303,104.1032231,109.9910854,103.9303866,95.76366162,87.46,102.120691,94.1325,95.52420706,93.1095,103.034865,103.3901315,71.40632653,92.2992197,78.02125,88.20492424,103.354029,75.47107325,87.32747959,98.3605,91.04479348,93.67475,85.38375,40.24043815,116.5115853,85.95162879,94.5375,89.90535417
