,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
Mean.of.sub.objects..stddev.Layer.1..1.,66.75733297,134.4479114,114.5392192,78.02334255,91.12948093,101.3716907,86.11770328,108.0996608,101.1344066,92.63135104,102.6876263,123.7237413,123.444342,104.9404047,102.2248848,89.74075344,110.4097545,94.70028827,88.3489742,102.6434688,94.34794065,82.17411626,65.79368028,88.2035044,103.2001578,135.9898074,92.35864081,98.85360668,72.2523496,134.9418223,119.7645811,102.6169339,160.1359903,121.2530324,72.77742632,80.25730553,114.0815995,118.5323332,77.81137541,119.2530094,114.7644798,97.55197905,115.2662515,100.7446526,135.2945106,124.8047237,101.6999347,129.40316,116.7795822,103.6146271,102.5155259,60.76508649,107.048676,95.10190731,105.076985,71.89175147,117.8559333,99.72688282,146.132188,109.6041561,107.8927647,107.7875068,89.70801555,123.6994736,101.3380283,112.8744148,90.48076201,108.2904999,105.2109183,66.96886757,111.5244647,69.40485466,91.31768685,130.9740167,85.91142824,101.8755714,103.7844441,122.4062954,96.8280209,80.13588395,33.35027653,132.7726595,80.53707173,123.1346875,110.7716966
Min.10Per.Pixel.value.Layer.3,67.82310517,129.0117518,113.2223106,77.94033783,91.89916559,101.5711629,84.90930082,107.619543,98.1686436,91.88320539,101.406046,120.461708,120.0299389,104.4811418,101.5025226,88.62070136,111.1863035,92.95306916,88.6730953,101.1278244,93.37103391,80.08368758,66.92465792,87.90684217,101.914144,131.7295381,90.49128164,99.8487922,72.83631475,132.3971543,118.348788,100.7258067,157.6106297,117.4192373,73.568492,80.4043599,112.1640524,113.3033607,78.75564716,115.0873931,112.6823758,97.28197567,114.6261692,100.716502,128.8743022,117.3533333,101.5379632,121.937663,113.734096,104.2966211,101.7321212,62.05449188,106.0336719,93.8785761,105.3788822,71.98881548,115.2488404,99.88948473,142.5189843,110.5974541,105.7527568,107.9860018,90.00140355,120.6400679,102.57108,111.8837665,89.7543493,107.1473098,102.0911099,68.23969839,110.5397191,69.00449848,90.42632133,130.4455773,86.58081856,99.70494346,103.3437042,119.2902645,94.43594892,81.30076926,35.64767426,131.6725718,80.60692838,123.7084825,109.6002053
Mean.Diff..to.neighbors..abs..Layer.2..0.,0.902496098,0.381997279,0.293920411,0.462534292,0.504455654,0.308911881,0.222441606,0.250719505,0.397018983,0.720363828,0.458282504,0.295674491,0.337620026,0.196919518,0.362322852,0.341257616,0.232275323,0.585422081,0.315995457,0.281019392,0.25862616,0.346251572,0.955657185,0.336015023,0.316329206,0.339669694,0.373460335,0.369769569,0.555623959,0.289081826,0.319174277,0.570223895,0.163784129,0.318429677,0.92345998,0.616196326,0.265990168,0.325095017,0.532596198,0.530370688,0.55513159,0.418076592,0.393000855,0.532759861,0.268575778,0.473994677,0.506903679,0.238824046,0.359383068,0.28906912,0.560239253,0.772213258,0.327899643,0.344143823,0.347803293,0.49730113,0.593836089,0.36378241,0.268100722,0.153707046,0.42916029,0.391678565,0.469345963,0.398374182,0.344383169,0.42300493,0.387431672,0.376986745,0.385133164,0.914886283,0.35172922,0.312986048,0.290601212,0.247266505,0.459320245,0.513430132,0.232051451,0.315662946,0.664639819,0.351934729,3.039755096,0.233522976,0.355772932,0.339994479,0.293403324
Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.,57.172,73.84805689,90.04454292,68.16974748,66.55925,90.44775,96.14352261,97.46428824,58.63558677,52.4575,73.66958893,90.71798958,77.57965278,81.86917172,79.17946171,98.02946809,96.57318435,72.0105,104.5289318,95.32559278,81.235,76.6425,65.01573335,81.1375,86.53864647,120.4827114,116.2080253,78.06986111,62.91876263,97.16163265,101.9475,71.21031818,110.8106921,92.25081632,54.5525,55.14176156,93.57161869,67.44048349,59.40024168,82.94106822,84.83995363,89.11593138,95.10979041,67.79406061,79.71691837,60.4310838,73.4715,103.9514265,74.435,81.48596465,82.92388889,52.855,83.19643878,70.7365,73.31275,59.47075,77.24837707,75.89707071,75.68458954,128.6880179,103.5185036,88.42268687,75.97925,85.64556678,81.4314899,85.92727679,105.44,100.6994406,97.78793815,70.98903061,73.98800505,79.031,119.1488384,87.99387602,87.01640709,64.54117347,104.09475,82.84956933,80.40825,75.3675,44.94046392,117.5413601,87.28267677,69.6855,87.37608333
Area.of.sub.objects.Nucleus..1...Pxl.,2380.063934,1045.027767,1325.693554,1453.64639,1279.425244,921.4857658,1112.927362,1290.369505,1290.591806,1657.32821,2067.579175,1179.734761,1743.484821,964.3373011,1912.618526,2171.353261,839.1576233,1972.093516,1717.158435,888.4283409,705.9990158,1352.186257,2840.234887,1051.196828,2046.247124,1070.76487,1674.633762,1193.461327,1766.916353,1044.135429,1613.196533,2607.964507,417.4730625,701.9137848,1419.204484,2571.598851,640.510183,1053.441927,2259.088402,2273.031329,1638.545672,2749.139384,2021.792246,726.9412685,582.0021769,1241.044465,2137.087803,730.9039845,631.0688745,472.0465228,2325.813102,1642.535908,795.3798559,947.8643885,1476.309707,981.4395629,1860.993571,1566.079423,737.69448,763.5227995,1494.638931,1553.9729,1724.431052,1452.058604,744.1839961,2104.398791,2621.173179,2298.201222,1741.264419,3481.077929,786.8323432,979.9591505,2665.1354,1189.196773,2485.484943,959.3660244,1290.063789,1738.822237,1843.175715,1246.03153,7576.572164,1322.825449,1594.719218,862.9808282,1289.652453
Min.10Per.Pixel.value.Layer.1,171.5369903,251.0573302,224.7686039,183.5002744,192.1804119,215.8163431,179.7684314,218.7727068,195.5672683,197.2582289,207.4464472,236.6226016,231.6046422,203.8290458,202.0646863,184.5118229,218.906662,198.6725369,194.8319728,208.355917,201.4397132,191.7316427,173.2403546,196.5641516,208.8317614,250.9038427,199.8780124,208.9789098,176.1659436,249.6443078,236.9520867,210.7315596,277.511417,236.6556159,180.3633375,180.1947744,226.9519001,224.0930121,169.3294758,217.0047879,229.4327254,205.0191346,227.1459962,214.4551677,244.7536324,234.1926129,208.8271884,232.2571959,234.3577144,216.8862566,217.9260724,159.3015656,217.9423676,205.8675346,212.7227438,175.9247703,226.7606383,203.3996232,257.926892,219.0521747,220.7341898,220.9537042,199.6948353,236.0821434,212.8709861,222.5557626,193.7431806,219.6918821,213.4591058,165.1799263,223.2583866,171.2419972,198.0289115,243.3861837,186.7142823,217.013259,216.3311851,226.8216786,206.8637527,192.4764514,104.6825959,247.2628281,187.7250865,231.8913163,215.2891428
Area.of.sub.objects..stddev..1...Pxl.,52644.9275,64833.71314,105714.7096,70503.69038,63773.2275,80359.1025,86923.82955,95715.10884,56957.51059,54460.6825,72531.12518,87863.89669,75890.79731,98788.10604,82678.3036,97014.7315,104683.538,60573.455,87312.68695,99294.86438,93855.4325,106515.7425,50907.21662,90798.7375,95986.67178,92131.61512,74191.54104,68645.66467,64256.95273,86174.83648,86940.945,73860.56571,83075.61731,61768.03674,46902.7925,62426.52289,74435.27078,70312.01903,71649.89541,62912.86617,56057.95855,104600.1825,97566.25443,57384.03788,70925.27066,73788.20064,76595.3575,104351.4228,90478.9775,64105.12417,69095.99344,59566.2325,77166.79833,67289.5975,70201.21,67475.0225,76476.21802,88389.84937,80283.26092,95682.43746,76359.89046,91770.2193,81920.0225,87749.9106,75289.86702,86750.30983,104545.1775,83996.24498,68913.57884,47604.81311,67458.27071,78544.95,109090.3806,82273.53328,78205.47703,53189.66689,95384.7275,84454.3904,75272.975,83812.905,31877.58778,88687.81615,92421.37725,74895.11,64807.05261
Contrast.to.neighbor.pixels.Layer.3..3.,453.57,489.0758971,587.0044445,504.4842172,468.815,490.73,589.7088233,545.6816409,460.1295468,503.11,536.117513,585.3101136,538.2939615,589.0579293,512.012455,574.6400532,546.7259596,537.1575,509.0240404,594.2972938,555.9325,723.9875,477.7552484,511.115,620.2072727,512.2612681,452.8743687,502.4517424,483.3402778,592.1517347,525.235,538.3267172,459.3682005,479.0437245,473.505,437.2817284,523.2941162,480.348821,524.7362245,505.7217976,470.859178,592.2417413,574.1886869,478.9753283,510.8092857,573.875687,531.52,577.0433224,623.86,412.4440152,493.5543687,552.8125,574.3171939,554.395,466.3625,515.625,500.8905522,537.5860606,480.1802313,468.4266524,445.0998563,537.1395455,585.265,507.8463376,505.2296465,545.9725999,605.4125,536.8728611,507.1134536,441.2868878,484.9849495,483.12,577.5717677,464.3747097,600.1669482,471.575051,550.0025,492.9852943,597.7125,482.8825,539.359665,496.7460575,631.5243687,574.9675,519.5425
Area..including.inner.polygons...Pxl.,532.5225,446.830824,550.7284091,490.5920455,503.1725,518,420.444193,518.7875138,451.6178469,437.0475,475.1271348,473.5309533,455.1435827,500.6911364,515.3544681,487.5467021,561.7833081,424.2375,505.0978535,483.2980155,539.4175,475.78,523.8530684,553.795,493.3637121,498.5435865,472.1233333,441.614495,496.6624495,452.962551,492.8075,517.3164394,480.6930601,407.0725,503.0425,558.0302726,459.2500758,463.657254,508.7859023,453.5708501,451.6152792,573.7563441,505.3487374,476.2895455,443.0119898,454.5935838,524.2825,528.4190761,499.5275,541.7408586,496.8388131,491.1025,438.472398,398.56,500.74,504.11,548.5444934,574.0883586,520.1997138,535.1557176,514.0056748,524.1956566,516.025,529.0621673,490.4405051,537.8799065,554.1175,485.8122678,460.3461856,472.927551,470.7987879,536.985,514.1375505,510.7077388,423.1928485,429.5562755,467.0275,563.051209,492.7125,590.56,496.3876289,500.7657957,472.4994192,520.36,397.0186458
Length..µm.,60.41972883,75.9137146,76.16010645,69.60571065,68.30258317,71.85432675,79.32997288,78.33047688,66.67020376,65.9009916,70.86416129,74.66263167,76.22718754,78.92897918,73.53905852,80.12792477,80.3791685,68.61153612,77.92995334,80.72754797,72.09581656,72.56951204,59.50223451,73.55628873,74.02616446,80.34517731,77.2807397,71.74636556,65.33765936,77.18052203,78.79857348,66.60045693,84.91277619,72.84871121,59.48699943,64.58049919,75.53718725,74.00169741,66.85527019,65.689202,70.84050236,71.54741432,80.37977181,67.37351194,73.55987159,70.45710518,64.68231446,78.17108962,70.52942151,67.67082279,70.52803132,58.81674069,70.1199172,71.20552118,72.33626123,65.96846939,70.30593634,66.68803415,77.37650684,85.76806608,76.17679587,76.00100479,66.47882959,74.77001611,69.87645599,73.62719631,71.21756358,75.90475996,69.54360409,62.9619624,71.70658114,69.77026886,83.0002885,81.32165695,73.22054082,67.86522507,83.69100973,71.85976441,66.25757591,69.74622428,48.03905555,80.82357966,68.79653791,66.1685535,72.32701876
Width..µm.,33.86289767,64.53291148,54.83266809,39.00311423,42.94330656,48.41524485,41.47146865,51.26281014,44.85436066,46.37222636,49.92671811,57.1732371,57.80294289,49.33829737,47.80004944,43.51500717,52.96075343,45.48881129,43.01441431,48.91655152,44.57772079,40.46750398,32.71556478,43.42417628,48.55755166,63.72000906,43.74162253,48.35876318,35.64516011,62.95086388,58.80793553,47.88191757,74.94583976,56.06702178,36.96965377,38.47411616,52.89526807,54.17068013,37.02537336,47.82186888,55.10724763,45.58350676,56.35557166,50.76617496,61.89936699,59.29359819,46.70593474,56.89158876,57.30496466,48.70690242,50.86633561,30.9467994,51.01452114,45.49092615,49.76578881,35.88126899,54.69525608,44.81463682,67.08204846,51.59239771,52.33876672,53.33969624,43.86458585,57.65453336,49.6744526,53.21170131,41.43498029,51.21124263,47.62727591,33.18018153,52.87111518,33.52952074,45.57845394,63.64750689,41.2777237,50.8204755,51.27856515,53.69078936,46.01298754,39.19412718,17.25964345,62.40710048,39.3290716,54.7294323,50.25300434
Mean.Layer.1,69.52380666,88.22636776,86.95623771,78.93721165,82.21237449,80.41425214,88.2589933,89.04114942,83.16897472,78.41841634,81.30256195,85.53615539,89.66004723,91.78218193,85.48216403,88.15398369,90.5977413,81.28743804,85.09164828,91.08574924,83.38239213,81.47819085,67.21636498,82.289924,86.37931699,88.30183346,84.47019205,81.02121569,75.00217239,88.81343728,86.08181264,79.68175514,93.87277303,83.38336125,69.90271903,77.0729332,87.50045045,85.84180898,80.78680363,81.26596684,78.94990636,82.59694285,88.60969725,76.00142588,87.58121262,83.30415088,76.63505842,91.95569439,79.62380332,77.27471016,77.86024801,68.20779136,80.51048995,83.30977984,85.34805591,76.49115057,82.51474859,81.29819538,90.32546892,94.9196684,83.1273365,83.46713324,74.82788339,86.34293197,77.64209173,84.91814656,81.81308364,83.95573021,80.49009899,70.72493062,83.92351647,78.42994949,88.37051799,91.11390813,81.86766111,77.91179215,92.05783201,86.93199928,76.24063388,79.75498872,56.12734173,90.14869931,76.90234969,83.40833129,85.93552994
Mean.Layer.2,44.69854998,81.21326055,68.8938988,49.58049941,59.96274714,58.85235476,53.34061059,64.55678272,62.35440425,61.77569881,64.59419087,69.07625763,73.13624455,64.96399542,62.48605593,55.49042539,65.83495351,60.44363932,51.63648152,60.87499323,55.98876437,50.06709965,42.41290117,53.83690809,63.33216284,74.27106906,54.2997153,60.98034821,44.59534597,77.57430202,70.65926073,63.79839466,85.28072378,69.93542567,51.73225854,51.32273573,65.40831287,67.72135573,54.15521476,64.14638963,66.79190235,58.88236159,68.25582429,63.36171038,77.22936742,74.95987372,59.94299394,71.24588176,67.84872177,57.85229845,61.40854417,40.09831071,64.37431539,59.36786323,66.36845489,48.13754932,68.88362317,61.08064822,82.73784231,61.19801944,61.97868251,64.36874922,54.86729088,72.22420795,59.6101776,68.52197796,54.02484,62.50504335,60.27027851,43.17725613,68.47794601,40.76232026,54.78888329,76.50929396,54.43537884,65.155696,61.50937206,71.98520714,58.41596136,50.30044713,25.19825554,75.77251618,48.84602149,75.07234963,66.71882064
Standard.deviation.Layer.1,61.77541232,89.80098859,80.75802631,65.48087911,71.96805335,75.30979953,66.167934,78.07501977,73.37961596,73.93258688,76.36458466,82.69204688,83.56522347,75.50248246,74.05247767,67.64313826,78.15207276,72.76355853,68.18222045,74.85438197,71.64294703,67.78677807,61.32892033,69.87891553,75.6976817,87.30348484,70.70986651,75.18339956,62.09889843,88.23176334,83.5618131,76.83262751,95.58897486,83.60656327,66.65712464,66.29124093,79.89261306,80.43892966,65.17603683,76.62846877,80.22361665,73.25593325,80.49196219,76.74131078,87.60059377,85.07841737,74.87119484,82.75938968,81.95954325,75.25522659,76.68405286,57.68743275,78.33332813,74.47456943,77.96146562,64.45192808,80.9511078,74.56649972,91.57611948,76.16010454,77.29434298,78.44949851,70.84905465,84.27358447,74.97660504,79.85394427,68.88624046,76.85473132,75.18937182,59.32480991,80.47523051,60.26689731,70.03905305,86.48752476,67.9225996,78.06574821,76.27153087,82.79318222,73.84560521,68.77155157,39.44076562,86.8020852,66.20033975,84.68488631,78.39362474
Standard.deviation.Layer.2,15.42002172,13.08916923,13.34320313,14.19540109,14.84187732,12.84309176,14.24104716,13.18271571,14.222602,14.64362293,14.19209841,12.34629825,12.9231922,13.70298435,13.924354,14.4140773,13.03462814,14.41304302,12.98999863,13.05792578,12.7528219,13.41328822,14.75991438,13.51529343,13.85633753,12.25148744,13.5252927,13.57564785,13.91956235,12.52522733,12.76554124,13.99665536,11.59117499,12.74623074,16.33553063,14.61419355,12.45388609,13.14036623,16.68705649,13.66213449,13.25970192,13.69156584,13.11645508,13.82221951,12.39577595,13.42954121,13.28156944,12.94777132,12.50021349,12.03547244,13.25469919,14.73685986,13.54317734,13.70745757,13.84986789,15.14922582,13.50752528,13.88989145,12.54726873,12.2648107,12.84908931,13.11458022,13.62718709,13.32332441,12.82557699,13.5542734,13.78311217,13.03308032,12.94746759,15.05562853,13.41580775,12.73088125,13.5341168,12.50636073,15.06439606,14.13884597,12.83752935,13.4511937,13.8550231,14.09113837,19.18725072,12.5164733,13.5551935,13.39493511,13.72912731
Standard.deviation.Layer.3,0.921187166,0.024536569,0.78740308,1.216446392,1.195647098,0.611998757,1.344422621,1.076739682,1.109822486,0.548468337,0.877220104,0.49560112,0.697380946,1.235596368,1.081117106,1.323976351,1.190039467,0.870510883,1.274074922,1.133511214,1.201893598,1.184620506,0.810676193,1.120403254,1.167260534,0.672487634,1.254379818,0.953921362,1.004591521,0.406184828,0.657232298,0.522007924,0.021362876,0.314040224,0.355679987,1.075469066,0.829755805,0.774217168,1.283474235,0.793238354,0.110939464,1.061650752,1.133736197,0.049263386,0.255714717,0.089712697,0.526561026,0.744989453,0.12388808,0.42789765,0.428658454,1.027609963,0.527319582,1.060907149,0.989426124,1.233864931,0.369590547,0.884863023,0.0306312,1.12169798,0.774242911,0.731066929,0.804874876,0.456039934,0.569593187,0.849127149,1.245551883,1.046696105,0.917073583,1.267907926,0.530306885,1.325067135,1.301715863,0.767653771,1.269862571,0.096296758,1.2248714,0.854339942,0.455339684,1.170567186,1.459302471,0.68974573,1.143237375,0.094583152,1.069757619
Skewness.Layer.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratio.Layer.1,25.118,47.90025917,49.4235101,30.63388889,29.064,49.79225,36.11463085,49.32115407,28.82240657,27.41625,36.35508851,57.77003157,46.66655303,38.12580808,36.40717938,37.52292553,49.40389394,36.21125,47.63707071,44.77742268,40.5485,36.2,27.59550196,38.415,42.40164142,75.29921952,48.62222475,39.47033586,31.03578283,64.08729592,57.16675,38.9305303,86.99096953,54.35591837,23.995,25.65926612,56.2977399,39.040855,23.94248121,49.21251831,54.15473153,44.35550219,52.05863384,39.80853535,56.6094898,41.77441095,42.4475,59.89114152,54.495,52.63356061,47.74656566,22.6635,45.96321429,34.0625,36.29,24.63325,48.66520228,38.08295455,52.67474497,64.09807958,56.54807737,48.30479798,39.665,53.28589227,47.21165152,47.23781356,47.0825,53.89086721,53.40131443,29.76433674,41.65384091,31.04025,47.6575,57.48569325,33.21717324,37.29612245,50.6045,44.44868153,44.385,34.589,11.69404639,68.41550711,40.17194445,43.604,45.2325
Ratio.Layer.2,186.73175,233.7505569,223.0672222,205.3826515,219.8175,205.47,216.8194396,223.7428861,220.6490593,211.31475,214.7166081,218.353781,228.8048864,228.5152525,218.6728962,220.7053458,227.0421465,218.77,211.2975,225.4499227,212.40775,205.9475,181.6354991,207.8105,222.8080808,217.4221575,210.3990429,211.6194192,195.1439394,231.500051,219.98,214.1475,230.5264298,219.2987245,195.84825,203.5094265,221.3266162,218.9100976,218.5545838,216.776283,212.1205002,213.1020494,223.3423232,210.4019445,227.1337245,223.787114,200.505,228.9534915,211.8975,197.1784722,202.6584293,183.0695,208.758,218.3225,224.515,203.96,216.2258406,213.1914142,232.1595851,224.7470857,207.9670947,210.9996465,194.07775,225.8584784,199.1066667,224.7739116,209.99,215.4765965,210.2853351,189.8182143,224.7648157,198.415,212.9964647,228.1725,211.6822986,217.0367347,224.584,225.5329249,202.19725,208.435,156.3287088,229.6923444,193.8453788,233.05,223.64025
Min.10Per.Pixel.value.Layer.2,124.4835,229.366236,205.2644192,139.7058586,180.8165,165.04575,154.8221526,189.3542016,186.8215741,181.7525,188.13012,190.6268649,209.220524,197.6402096,183.8197886,160.5016862,191.9277525,181.66875,143.9632576,174.6980954,157.71975,141.977,120.8797166,151.732,188.3678611,202.4604142,155.2023965,177.0445025,123.3031061,223.5430612,204.665,193.9555303,223.0310583,205.0816837,153.87125,145.7379327,185.7402096,190.915135,162.8107573,189.4445842,193.8487622,173.5908362,195.9575808,189.5742096,217.3758572,215.8668399,171.115,202.8703936,192.895,156.4705101,175.4954268,111.624,186.8849388,172.1225,202.963,137.32025,194.0159919,184.9034015,226.5701431,168.3057293,171.7150374,182.7704495,156.73075,209.7955187,168.6976339,207.8545872,162.1325,183.1090399,177.7246856,124.5165867,207.5962727,110.1775,151.5040328,215.7946892,157.6169998,199.3001429,171.47975,210.5072063,169.2015,141.67375,67.09315464,218.8775613,137.6734975,227.2275,200.3680938
Max.90Per.Pixel.value.Layer.1,163.8975,233.7512131,218.8581061,172.8216212,201.2225,193.25,182.2223888,208.9512291,205.4315773,203.7245,207.2629413,210.2953693,220.8336474,212.8281263,203.2219307,185.8865426,209.0840657,201.858,177.1433081,199.8981443,186.28,177.8375,162.1247872,183.54,206.7869192,219.4347639,185.9541162,201.454495,161.7228308,231.297,220.1425,212.3688535,231.3493835,219.9955102,185.8935,177.9616849,207.0789142,210.6400032,187.8226773,208.4837551,211.0791818,196.80279,211.5219571,209.382096,226.6852551,225.5960421,197.24775,216.9948671,212.28725,187.5544015,201.1891414,153.68375,209.2660714,198.57375,216.64575,174.029,211.0494218,206.3941035,232.7561418,194.039016,198.4483045,205.5170455,186.54725,222.2837339,195.1636869,219.0349043,188.875,203.7951523,200.1446108,160.5849286,219.7200253,152.8965,182.2088586,225.2676431,185.9587649,215.234898,196.74475,222.9908107,197.02225,180.3725,106.4371134,227.8764172,173.4011364,232.65475,215.9636667
Max.90Per.Pixel.value.Layer.2,0.000978943,0.000597548,0.000446795,0.000641815,0.000710711,0.000599686,0.000462335,0.000422626,0.000640884,0.000939388,0.000549291,0.000456621,0.00046,0.000405918,0.000480136,0.000431467,0.000444635,0.000663441,0.000464802,0.000538802,0.000538146,0.000465629,0.00096488,0.000513087,0.000349581,0.000503555,0.000545221,0.000644649,0.000689986,0.000463435,0.000528974,0.000497205,0.000536073,0.000713844,0.001213175,0.000528086,0.000603985,0.000564822,0.000581033,0.00049568,0.000770436,0.000426382,0.00032621,0.001083532,0.000696344,0.000763632,0.00047071,0.000607116,0.000828691,0.000801231,0.000549988,0.001069124,0.00066022,0.000685673,0.00061914,0.00091776,0.000702142,0.000564839,0.000561647,0.000364332,0.000543689,0.00055233,0.000584293,0.00050464,0.000748702,0.000462454,0.000409824,0.000407655,0.00054531,0.000700199,0.000772043,0.000592946,0.000263716,0.000407572,0.000502951,0.000875719,0.000389568,0.000412552,0.000740899,0.000625954,0.001498511,0.000409339,0.000456838,0.00072333,0.000471185
Max.90Per.Pixel.value.Layer.3,0.00088107,0.000558507,0.000396902,0.000585946,0.000646096,0.000537776,0.000396456,0.000368488,0.000561385,0.000832383,0.000488029,0.000399621,0.000400412,0.000347284,0.000413517,0.000375654,0.000402069,0.000597526,0.000405098,0.000471217,0.000496986,0.000413798,0.000880159,0.000465277,0.000313625,0.000422174,0.000487356,0.000576505,0.000604848,0.000420057,0.000471002,0.000449083,0.000462073,0.000631577,0.001106834,0.000478411,0.000541917,0.000491302,0.000524626,0.000436052,0.000704941,0.000388012,0.000296052,0.001007015,0.000615265,0.00066612,0.000418422,0.000521145,0.000737676,0.000736531,0.00048542,0.000978842,0.000590661,0.000603593,0.000535713,0.000832733,0.000634237,0.000492229,0.00050124,0.000311756,0.000482355,0.000488599,0.000536253,0.000443834,0.000663302,0.000425558,0.000365536,0.000370131,0.00048445,0.000627475,0.000707247,0.000529994,0.000237746,0.000357941,0.000445962,0.00080799,0.000342302,0.000358471,0.000669214,0.000563674,0.001292819,0.000365989,0.000415653,0.000649964,0.00040853
Nuclei_Density,0.318847515,0.248299233,0.327312706,0.31818497,0.29782879,0.320354225,0.419652787,0.342930882,0.277025703,0.252817428,0.306178811,0.254420526,0.229934756,0.357202051,0.318352218,0.356839342,0.325267761,0.279515845,0.359737059,0.307131045,0.284412985,0.322300956,0.348246725,0.317124647,0.324749505,0.276262921,0.378208937,0.321497624,0.336627621,0.266181418,0.283597946,0.262498822,0.231794032,0.309800547,0.346672647,0.266889775,0.284770679,0.286804943,0.368136346,0.305501543,0.317702278,0.329786055,0.239547861,0.329047123,0.240735269,0.250445758,0.280166449,0.302015159,0.299174738,0.285373681,0.296089751,0.291186002,0.354348703,0.29777828,0.27908315,0.330968561,0.23216362,0.322172991,0.23278129,0.394028919,0.280218035,0.301287774,0.329130655,0.287149183,0.349616518,0.281633455,0.392981243,0.333168767,0.339195731,0.338786581,0.297450559,0.281220213,0.350726387,0.285653269,0.362431071,0.314430222,0.310705984,0.296042498,0.291458838,0.363605031,0.307640344,0.316593964,0.369328633,0.292544104,0.32887955
Fibroblast_Nuclei_Density,0.302668903,0.221978464,0.184605326,0.242740782,0.260612696,0.187414717,0.159483838,0.174505183,0.226003473,0.286194474,0.230323095,0.179169285,0.193759598,0.151052764,0.201769688,0.217014192,0.173807934,0.266623291,0.207363519,0.185242881,0.179484385,0.202947604,0.32706146,0.192290406,0.201753836,0.163665361,0.263441773,0.222891172,0.261512375,0.189618727,0.207044708,0.27347799,0.124195569,0.199178165,0.315768791,0.26848305,0.175404044,0.204385354,0.262520255,0.217113879,0.273532669,0.230847749,0.23308904,0.266156984,0.172688439,0.237472611,0.222165804,0.151085376,0.209324211,0.175627584,0.25543154,0.293977617,0.175817339,0.216073532,0.215306592,0.263306448,0.242632996,0.203143058,0.17686789,0.1172621,0.222373563,0.21121883,0.239612162,0.217775781,0.19469833,0.245453789,0.228016519,0.238640232,0.232427871,0.336408645,0.223103883,0.202206671,0.175420837,0.170364618,0.250542393,0.270153306,0.164996536,0.187187526,0.274907583,0.210149975,0.4215409,0.179088593,0.195391163,0.202591892,0.189143519
Fraction_Fiber,37.79135851,35.94856457,35.70821188,37.64742404,37.87216716,34.40816299,34.87463547,35.91950512,37.71032672,37.06359326,38.56051286,36.59765059,37.11937016,35.83497797,38.42634278,37.60521975,34.97346878,38.06888499,35.10499663,33.5065889,35.27077712,39.26550993,40.5399609,35.15467027,41.16931524,NaN,35.36296185,35.57099848,37.82543234,37.48496622,33.86699798,45.11509611,27.37265848,31.03731401,38.35364379,44.45047296,32.13608107,36.74587927,40.72223655,44.92130925,37.85966401,41.47365269,43.71431784,33.84433715,30.0839125,34.4511075,43.83871745,31.15971806,31.15999891,29.61976842,42.04971721,37.21626654,33.09456966,34.98509074,35.70696362,35.80661112,36.8009413,37.51999892,32.27836946,31.18642779,NaN,34.21240809,39.68792987,35.94461694,31.98280324,41.06420982,39.78719948,40.83166149,36.47101707,NaN,32.27872679,35.64666696,39.125013,36.48064483,40.56779094,35.68324287,35.88386699,39.70821311,40.04713008,36.6871007,45.50109337,35.27009566,38.15107141,36.12657599,35.98910034
