"","GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..","Ratio.Layer.3","HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.","GLCM.Correlation..quick.8.11..Layer.1..all.dir..","Asymmetry.of.sub.objects..mean..1.","Rel..Border.to.Image.Border","GLCM.Entropy..quick.8.11..Layer.1..all.dir..","Ratio.to.scene.Layer.1","Skewness.Layer.1","Rel..area.of.sub.objects.unclassified..1.","Rel..border.to.brighter.objects.Layer.2","Density.of.sub.objects..stddev..1.","Rel..area.of.sub.objects.Dark..1.","Skewness.Layer.3","Compactness..polygon.","Mean.Layer.3","StdDev..to.neighbor.pixels.Layer.2..3.","StdDev..to.neighbor.pixels.Layer.3..3.","Mean.of.outer.border.Layer.3","Direction.of.sub.objects..stddev..1.","Mean.of.sub.objects..stddev.Layer.1..1.","Min.10Per.Pixel.value.Layer.3","Mean.Diff..to.neighbors..abs..Layer.2..0.","Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.","Area.of.sub.objects.Nucleus..1...Pxl.","Min.10Per.Pixel.value.Layer.1","Area.of.sub.objects..stddev..1...Pxl.","Contrast.to.neighbor.pixels.Layer.3..3.","Area..including.inner.polygons...Pxl.","Length..µm.","Width..µm.","Mean.Layer.1","Mean.Layer.2","Standard.deviation.Layer.1","Standard.deviation.Layer.2","Standard.deviation.Layer.3","Skewness.Layer.2","Ratio.Layer.1","Ratio.Layer.2","Min.10Per.Pixel.value.Layer.2","Max.90Per.Pixel.value.Layer.1","Max.90Per.Pixel.value.Layer.2","Max.90Per.Pixel.value.Layer.3","Nuclei_Density","Fibroblast_Nuclei_Density","Fraction_Fiber","Fraction_Nuclei","Mean_Distance_Fibroblast_Neigbour_Epi","Nuclei_Orientation","Nuclei_Perimeter","Nuclei_Solidity","Nuclei_Eccentricity","Nuclei_EquivDiameter","Nuclei_MajorAxisLength","Nuclei_MinorAxisLength","Nuclei_Area","Autocorrelation","Contrast","Correlation","Cluster Prominence","Cluster Shade","Dissimilarity","Energy","Entropy","Homogeneity","Maximum probability","Sum of sqaures","Sum average","Sum variance","Sum entropy","Difference variance","Difference entropy","Information measure of correlation1","Informaiton measure of correlation2","Inverse difference normalized (INN)","Inverse difference moment normalized"
"TCGA-A2-A0T1-01",0.984841999525,0.2692530133,0.0060849537,0.876664512625,3.343655612275,0.0204014492,0.480595758125,11.807326744625,0.458282504025,0.087981748325,0.458282504025,11.8455195164,0.018760063575,67.4123810343,82.226866017275,77.586176071775,131.7930847009,1359.62949605465,14.45418513685,78.9033825367,102.687626290275,101.406046061425,0.458282504025,73.669588930525,2067.57917446743,207.446447196075,72531.1251783297,536.11751301675,475.127134749575,70.864161287225,49.9267181093,81.30256195125,64.5941908716,76.3645846536,14.192098404125,0.877220103725,0,36.355088514,214.71660809125,188.130120014575,207.26294126835,0.000549290925,0.00048802865,0.306178810925,0.230323094525,38.560512858075,-1.861685191525,0.794329440275,0.00279129245,0.85281668665,17.295262278925,580.555916655475,256.627069927775,17.295262278925,289.289050497325,1.0150510556,0.0018408579,0.876664512625,0.876664512625,0.130932561675,0.0008944254,0.995279890825,0.0204014492,0.99967871185,0.999646418525,0.997635256825,0.984841999525,2.0078951838,3.984103156825,0.019505614375,0.0018408579,0.00510910495,-0.8324986233,0.164734368875,0.999910343675,0.99997391155
"TCGA-A2-A0T2-01",0.981704029775,0.626695656075,0.006051102075,0.850188289125,16.83991935785,0.016297176475,0.46367856335,11.4088445284,0.2956744909,0.08345318675,0.2956744909,10.975784685425,0.022089321075,74.841445603075,87.18591148615,84.076975604625,137.17927996095,1286.60443849613,15.398068884825,109.3115151515,123.72374129645,120.4617080048,0.2956744909,90.717989583325,1179.7347609921,236.622601612475,87863.8966887627,585.310113636375,473.530953282825,74.6626316727,57.173237101625,85.536155392275,69.07625763415,82.692046878475,12.3462982531,0.495601120225,0,57.77003156565,218.35378093435,190.626864899,210.295369318175,0.00045662065,0.0003996212,0.254420525725,0.179169285325,36.5976505901,8.06850852715,0.550368234,0.0024868994,0.85973796025,15.199490637275,603.0003498432,251.144441526825,15.199490637275,222.7780889375,1.01189383365,0.001827533925,0.850188289125,0.850188289125,0.1048282384,0.000862265175,0.9963831859,0.016297176475,0.9996963423,0.999664943725,0.998188886975,0.981704029775,2.0062455951,3.987394449125,0.015515206625,0.001827533925,0.004821430975,-0.81695112965,0.144229592475,0.99991409915,0.99997415715
"TCGA-A2-A0T3-01",0.97935796005,0.425716486525,0.00612150355,0.831716689075,10.106604427575,0.017041587625,0.463632067825,11.635120030825,0.337620025825,0.0851735808,0.337620025825,11.33239171435,0.021129780775,73.31644273845,91.39714788705,84.890341552275,136.54823198465,1126.33589091922,16.1191208919,93.6681691919,123.444342012025,120.029938858,0.337620025825,77.579652777775,1743.48482068195,231.604642212075,75890.7973137627,538.293961489875,455.14358270205,76.227187538225,57.802942889825,89.66004723215,73.136244553475,83.5652234702,12.923192201525,0.69738094535,0,46.666553030325,228.804886363625,209.220523989925,220.833647411625,0.0004599997,0.00040041215,0.2299347562,0.19375959745,37.119370159325,2.64401770765,0.554885143975,0.0023251006,0.85856590835,14.593283098225,564.51973614225,237.337713036975,14.593283098225,210.270340487275,1.00969723975,0.001505763775,0.831716689075,0.831716689075,0.069012372225,0.000816945975,0.99613294765,0.017041587625,0.999688192575,0.9996600896,0.99806295875,0.97935796005,2.0055044433,3.9758393213,0.01613985045,0.001505763775,0.005030160625,-0.7968979957,0.143235829325,0.9999164356,0.999978296275
"TCGA-A2-A0T6-01",0.9790052435,0,0.00666794725,0.834449211775,0.09613166325,0.01452292305,0.460283630175,11.2858447732,0.1969195185,0.087151969375,0.1969195185,11.860851435975,0.023475283375,64.119916536175,92.907391913025,77.155052105825,131.4064370381,1398.23298490113,18.81375316425,79.574984848475,104.940404680025,104.481141851525,0.1969195185,81.869171717175,964.337300826225,203.829045828925,98788.1060353535,589.057929292925,500.691136363625,78.928979180925,49.33829736845,91.78218192485,64.963995418325,75.502482454325,13.7029843473,1.235596368225,0,38.1258080808,228.51525252525,197.64020959595,212.828126262625,0.000405917725,0.0003472841,0.357202051225,0.15105276375,35.8349779705,1.68368521485,0.5334128618,0.001671210725,0.862568324475,13.60888584225,651.808243777275,267.433140426425,13.60888584225,166.658656193075,1.00926199225,0.001652506975,0.834449211775,0.834449211775,0.083799733225,0.000788354975,0.996918166725,0.01452292305,0.99971706645,0.999690889125,0.9984573891,0.9790052435,2.004937913775,3.9836758231,0.013770900425,0.001652506975,0.004616900075,-0.798240008325,0.135695733,0.9999211847,0.99997674295
"TCGA-A2-A0T7-01",0.98047688195,0.11830100595,0.006409247925,0.8461254452,0.0620486031,0.017415932675,0.466848091775,11.689065886625,0.362322851975,0.0853155611,0.362322851975,11.849297284025,0.021231446175,64.10167094565,87.069676084175,76.249015542225,131.00643869435,1149.75598933507,17.128864656825,77.328275870975,102.224884785325,101.502522589375,0.362322851975,79.179461708925,1912.61852634993,202.064686251975,82678.3035961013,512.012454970625,515.354468086475,73.539058522775,47.800049437925,85.4821640303,62.4860559341,74.052477661625,13.924353995475,1.081117105975,0,36.4071793831,218.672896148975,183.819788574525,203.2219306844,0.000480136025,0.0004135166,0.318352218175,0.2017696881,38.426342773425,0.779541540125,0.554515819475,0.00249897995,0.85446977405,15.16635832785,577.069371096225,243.297264856975,15.16635832785,226.903353512125,1.01076480495,0.001621878225,0.8461254452,0.8461254452,0.085842034925,0.000832898925,0.996070872275,0.017415932675,0.99968973,0.9996616126,0.99803196955,0.98047688195,2.005911584525,3.97861017925,0.016541766225,0.001621878225,0.004996354875,-0.807857598975,0.14689538895,0.999915591575,0.999976874575
"TCGA-A2-A0YC-01",0.992265644875,0,0.006867540875,0.8729149487,7.2055299799,0.020217544775,0.480344325525,11.3585083704,0.341257615575,0.08246355205,0.341257615575,12.11443881005,0.0223098793,59.713780601775,89.1957596926,69.934326585925,129.8693390439,1454.44076221875,18.088070156625,73.1250531915,89.740753434875,88.620701358975,0.341257615575,98.0294680851,2171.35326122777,184.511822876175,97014.7314893617,574.6400531915,487.54670212765,80.1279247661,43.515007167225,88.1539836863,55.49042538805,67.64313825645,14.4140773002,1.323976351,0,37.522925531925,220.705345744675,160.501686170225,185.8865425532,0.000431466425,0.000375654125,0.356839342075,0.217014191425,37.6052197489,0.501000705875,0.46364222895,0.002386537625,0.8559163615,15.457849734175,587.680435310875,255.34532115335,15.457849734175,235.620796851725,1.021920350975,0.003018017,0.8729149487,0.8729149487,0.2918772646,0.001194609775,0.9955161615,0.020217544775,0.999609776675,0.9995730516,0.997753643975,0.992265644875,2.00993259445,4.0135502816,0.0192782708,0.003018017,0.005985721075,-0.815381343175,0.159206212325,0.999884923125,0.99995944465
"TCGA-A2-A0YD-01",0.986014469,0.0026147599,0.00649618375,0.87118275475,0.115031513975,0.01690913485,0.468488933825,11.161458213575,0.232275323225,0.0845714805,0.232275323225,11.30399491855,0.02322733405,69.72696039755,91.18291483145,79.281661446325,133.23592836205,1476.97111048997,15.87145595925,95.85893939395,110.40975443815,111.18630348865,0.232275323225,96.573184343425,839.157623354575,218.906661995725,104683.537979798,546.72595959595,561.783308080825,80.379168501225,52.96075342815,90.597741296,65.8349535104,78.152072760725,13.034628139575,1.19003946695,0,49.4038939394,227.04214646465,191.92775252525,209.084065656575,0.00044463495,0.0004020684,0.325267761175,0.173807934175,34.97346878135,-6.3223818747,0.50286947345,0.002024877775,0.8587967029,14.865668949575,638.85350047905,272.150669331175,14.865668949575,206.773759802525,1.01595229135,0.002375279175,0.87118275475,0.87118275475,0.184011620825,0.0009847697,0.99633770995,0.01690913485,0.999674580925,0.999641541825,0.998166361375,0.986014469,2.0076104748,4.001677902125,0.01612935025,0.002375279175,0.0051043736,-0.820645466175,0.1486783209,0.999904354975,0.999967444375
"TCGA-A2-A0YF-01",0.9850327852,0.305015658075,0.0062332172,0.85599244535,0.05711808255,0.0230827956,0.467949349,12.0757317176,0.585422081275,0.082817354775,0.585422081275,11.815328987225,0.017384036875,63.289697858525,82.91537458065,74.346833132625,132.336168077575,1199.18457142443,13.812445113575,79.071,94.70028827595,92.953069153225,0.585422081275,72.0105,1972.09351620285,198.672536855475,60573.455,537.1575,424.2375,68.6115361229,45.488811292625,81.28743804055,60.443639318675,72.76355853225,14.41304302015,0.870510882925,0,36.21125,218.77,181.66875,201.858,0.0006634411,0.0005975255,0.279515844575,0.2666232903,38.068884989275,14.90330327115,0.6523322268,0.0034077561,0.853499101475,16.713766634575,553.176261353575,222.20176682165,16.713766634575,274.6623134679,1.0151338812,0.0020723192,0.85599244535,0.85599244535,0.1144552723,0.001075967775,0.99452278055,0.0230827956,0.9996004175,0.99956137625,0.997254462175,0.9850327852,2.0083425827,3.975066219375,0.0219207821,0.0020723192,0.006215293125,-0.821289688025,0.170459870825,0.9998908426,0.999970262675
"TCGA-A2-A0YG-01",0.992439547175,0,0.00672113495,0.887044301825,0.061085937875,0.01914349145,0.477594193225,11.0414330052,0.315995456575,0.08331496065,0.315995456575,11.1101118633,0.02229534465,62.84993662625,85.92462987045,69.355755023325,130.730452733775,1236.01764030655,15.900581705425,93.233585858575,88.34897419625,88.673095303025,0.315995456575,104.528931818175,1717.15843488452,194.8319727718,87312.6869444445,509.02404040405,505.09785353535,77.929953334925,43.0144143042,85.091648273875,51.6364815194,68.182220453175,12.98999863115,1.274074922175,0,47.637070707075,211.2975,143.96325757575,177.1433080808,0.000464802325,0.0004050982,0.35973705845,0.207363518775,35.1049966247,8.261738763375,0.5393044371,0.0031196849,0.85373630505,14.894884703675,547.6340630126,239.884477643925,14.894884703675,225.743033002325,1.02222663565,0.00275724865,0.887044301825,0.887044301825,0.279045616375,0.00107667105,0.995673190375,0.01914349145,0.99966090865,0.99962362365,0.9978326481,0.992439547175,2.01007488935,4.017922544875,0.018421215275,0.00275724865,0.005162925875,-0.82780974055,0.1576472306,0.999896958525,0.999962461375
"TCGA-A2-A0YI-01",0.982912560025,0.102914801375,0.00672058045,0.847079364275,0.11493305415,0.0167815664,0.472603889375,11.26025540495,0.28101939185,0.087694576275,0.28101939185,11.35175639995,0.0233808626,66.7401361869,91.69459539955,75.830949653425,130.3130524058,1736.1219853405,17.93706029945,89.044587628875,102.6434687453,101.1278244084,0.28101939185,95.3255927835,888.42834087185,208.35591697285,99294.8643814432,594.297293814425,483.298015463925,80.72754797205,48.9165515164,91.08574923535,60.8749932284,74.85438196455,13.057925778275,1.133511213675,0,44.7774226804,225.449922680425,174.698095360825,199.8981443299,0.00053880125,0.000471216775,0.30713104445,0.185242880175,33.5065889036,10.1163038959,0.5600832086,0.0019499896,0.845630291,14.8491021513,624.580527086425,277.868013150375,14.8491021513,209.534193354525,1.01294706725,0.00215005095,0.847079364275,0.847079364275,0.127350863975,0.00093883275,0.996335167175,0.0167815664,0.9996821145,0.9996493791,0.9981649832,0.982912560025,2.006610040925,3.990098436625,0.01597259305,0.00215005095,0.0050099958,-0.817392871925,0.147156205125,0.999907876075,0.99997010405
